nummer 	Staal	Klasse/Orde	Insect	Aantal	Opmerkingen
1	SJ 7 2/8/2017	Hymenoptera	Ichneumonoidea sp. 1	1	
2	SJ 7 2/8/2017	Heteroptera	Lygaeidae sp. 1	2	dubbel in ref. collectie
3	SJ 7 2/8/2017	Heteroptera	Lygaeidae sp. 4	1	"fout, lygaeidae sp. Dubbel in ref. collectie. 1x oranje, 1x zwarte poten"
4	SJ 7 2/8/2017	Neuroptera	Neuroptera sp. Larvae	1	
5	SJ 7 2/8/2017	Araneae	Linyphiidae sp. 1	1	
6	SJ 7 2/8/2017	Heteroptera	Heteroptera nimf 1	5	
7	SJ 7 2/8/2017	Heteroptera	Heteroptera nimf 4	10	
8	SJ 7 2/8/2017	Heteroptera	Heteroptera nimf 3	11	nimf 2 en 3 mogelijk zelfde
9	SJ 7 2/8/2017	Heteroptera	Anthocoridae sp. 1	2	
10	SJ 7 2/8/2017	Collembola	Entomobrya multifasciata	2	
11	SJ 7 2/8/2017	Collembola	Sminthurinus aureus (?)	1	
12	SJ 34 29/8/2017	Psocoptera	Psocoptera sp. 1	1	
13	SJ 34 29/8/2017	Psocoptera	Psocoptera sp. 2 	1	mogelijk gelijk aan sp. 1? Mss zelfs 3
14	SJ 34 29/8/2017	Araneae	Argiopidae sp. 1	1	
15	SJ 34 29/8/2017	Coleoptera	Latridiidae sp. 1	1	
16	SJ 34 29/8/2017	Psocoptera	Psocoptera sp. 2 (?)	1	
17	SJ 34 29/8/2017	Acarina	Acari sp. 1	1	
18	SJ 34 29/8/2017	Heteroptera	Heteroptera nimf 1	3	
19	SJ 49 20/9/2017	Coleoptera	Hippodamia tredecimpunctata	1	staal 49: nog onbek. Insect bekijken
20	SJ 49 20/9/2017	Heteroptera	Lygaeidae sp. 3	1	was eerst anthocoridae sp. 2
21	SJ 49 20/9/2017	Auchenorrhyncha	Cicadellidae sp. 1	1	verandert van cercopidae 1
22	SJ 49 20/9/2017	Heteroptera	Anthocoridae sp. 1	2	
