NO	latitude	longitude	altitude	d50	d100	d200	d400	d800	d1600	d2400	d3200	ph	tf_shootmass	fmoi_shootmass	dmoi_shootmass	shoot_moisture	tf_rootmass	rd1	rd2	no_insect	no_totseed	no_viaseed	tm_viaseed	m_viaseed	root can+lid(empty) (g)	root can+lid+fresh roots (g)	root can+lid+dry roots (g)	root_moisture
SJ1	51.014297	3.727914	49	0	0	1.854102274	8.584103214	14.60401501	13.40721796	14.37299355	14.85964065	94	74.5	7.5407	2.4046	213.5947767	9.9496	16.11	16.19	72	59	52	0.0146	0.000280769	3.8124	5.8104	4.4837	197.6314613
SJ2	51.023009	3.711378	58	0	15.78550706	37.34061571	15.00746732	17.67455036	16.53602092	15.72828771	15.44099862	94	89	9.4	3.2763	186.9090132	19.7607	29.58	23.24	550	65	54	0.0195	0.000361111	3.8207	7.8103	4.9236	261.7372382
SJ3	51.03613	3.719338	68	0	1.741159814	9.377774093	31.77212893	34.02348201	28.28377888	25.03661091	23.08289671	76	205.5	20.622	4.8075	328.9547582	42.3542	34.6	30.01	38	68	53	0.015	0.000283019	3.8505	12.4769	5.6593	376.9128704
SJ4	51.027631	3.714878	56	14.80184924	12.07387044	13.32009802	23.61659952	24.90376047	20.80498397	18.75489794	18.27200658	78	95	10.1725	3.6393	179.5180392	16.839	18.16	16.92	105	69	47	0.0114	0.000242553	3.8575	7.3258	4.851	249.0991444
SJ5	51.024747	3.705769	44	10.70346788	11.90515716	13.80595604	18.52628111	16.26776041	15.53953418	15.05111584	15.11753631	98	172	18	5.8826	205.9871485	31.382	31.5	20.98	54	68	51	0.0193	0.000378431	3.8623	10.3153	5.3308	339.4279877
SJ6	51.08256	3.719458	53	6.311117207	6.9863123	0.996599332	11.5857219	18.26625472	20.93671062	19.05047317	19.82213134	60	23.7131	2.5876	0.9072	185.2292769	6.5335	12.78	11.58	74	57	48	0.0135	0.00028125	3.8393	5.1618	4.2195	247.8432404
SJ7	51.074904	3.717074	55	0.086534652	2.805119088	24.4005869	15.95958776	26.04070871	25.90226996	24.46914578	22.41492155	55	69.0286	7.0175	1.9436	261.0568018	12.8378	16.97	16.61	38	63	45	0.01432125	0.00031825	3.8638	6.4246	4.4838	313.0322581
SJ8	51.07001	3.716545	50	5.535302891	20.34560227	0.606350269	32.69101139	31.48957914	29.94695507	27.76726323	23.63485794	45	58.9917	6.3252	1.8215	247.2522646	11.1019	18.3	17.3	93	63	33	0.0077	0.000233333	3.8202	6.1834	4.5011	247.0700543
SJ9	51.081353	3.710824	60	21.75382206	21.62476395	32.11400947	22.55635039	19.38746255	20.38678179	20.65468439	18.96570028	34	30.4732	3.2263	0.9588	236.4935336	7.9365	17.1	14.68	19	51	35	0.0103	0.000294286	3.8683	5.5083	4.3732	224.8167954
SJ10	51.054483	3.732515	50	22.63960959	31.83017584	30.07258038	42.29429186	42.70697973	38.67089858	32.98481126	27.13703865	55	60.76	6.4444	1.4576	342.1240395	16.4661	14.1	13.63	110	60	57	0.024054	0.000422	3.858	7.2569	4.6792	313.894301
